ALBUM,SONG,STREAMS,DAILY
Make It Right,Make It Right (feat. Lauv) - EDM Remix,"12,554,360","52,086"
Make It Right,Make It Right (feat. Lauv),"223,814,784","1,136,125"
Old Town Road,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,"90,210,276","621,003"
All Night,All Night (BTS World Original Soundtrack) [Pt. 3],"70,085,628","1,368,272"
A Brand New Day,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],"89,083,090","508,503"
Dream Glow,Dream Glow (BTS World Original Soundtrack) - Pt. 1,"126,004,815","682,877"
Dynamite,Dynamite - Holiday Remix,"20,836,461","51,899"
Savage Love,Savage Love (Laxed ??? Siren Beat) [BTS Remix],"207,771,554","1,930,707"
Savage Love,Savage Love (Laxed ??? Siren Beat) [BTS Remix] (Instrumental),"4,088,685","31,794"
Butter,Butter (Holiday Remix),"19,597,306","-8,877,404"
My Universe,My Universe - David Guetta Remix,"10,895,869","-8,572,170"
My Universe,My Universe - Galantis Remix,"19,243,684","8,515,104"
My Universe,My Universe,"715,454,725","696,672,196"
My Universe,My Universe - Acoustic Version,"19,021,388","-681,807,228"
My Universe,My Universe - Supernova 7 Mix,"8,730,463","-10,022,331"
My Universe,My Universe - SUGA's Remix,"26,240,334","17,567,022"
Permission to Dance,Permission to Dance - R&B Remix,"28,655,789","2,785,300"
My Universe,My Universe - Instrumental,"8,579,036","30,485"
Butter,Butter - Megan Thee Stallion Remix,"130,036,323","1,479,056"
Bad Decisions,Bad Decisions (with BTS & Snoop Dogg),"45,595,566","36,305,994"
Bad Decisions,Bad Decisions (with BTS & Snoop Dogg) - Instrumental,"689,339","-156,125,451"
Left and Right,Left and Right (Feat. Jung Kook of BTS),"193,256,488","191,365,657"
Left and Right,Left and Right (feat. Jung Kook of BTS) - Instrumental,"2,365,049","-114,082,139"
Orphan,Heartbeat (BTS World Original Soundtrack),"117,136,872","116,766,100"
Features,"Love U, Hate U (Feat. ???????????????)","384,955","-289,141"
Features,???????????? ?????????,"682,543","-208,120,538"
Features,Who (feat. BTS),"211,405,823","207,325,904"
Features,A Song Make to You Smile,"4,116,577","-88,289,508"
Features,Girl Of My Dreams (with SUGA of BTS),"94,123,785","93,893,719"
Features,Waste It On Me - Steve Aoki The Bold Tender Sneeze Remix,"236,542","-2,268,615"
Features,Waste It On Me (feat. BTS) - Steve Aoki The Bold Tender Sneeze Remix,"2,509,960",
