ALBUM,SONG,STREAMS,DAILY
Fearless,Tell Me Why (Taylor???s Version),"25,781,675","322,898"
Fearless,That???s When (feat. Keith Urban) (Taylor???s Version) (From The Vault),"39,158,083","563,470"
Fearless,The Best Day (Taylor???s Version),"22,815,719","294,091"
Fearless,The Other Side Of The Door (Taylor???s Version),"28,045,269","526,476"
Fearless,The Way I Loved You (Taylor???s Version),"114,920,241","5,666,769"
Fearless,Today Was A Fairytale (Taylor???s Version),"23,092,462","330,360"
Fearless,Untouchable (Taylor???s Version),"22,708,681","330,056"
Fearless,We Were Happy (Taylor???s Version) (From The Vault),"28,725,957","381,766"
Fearless,White Horse (Taylor???s Version),"36,904,792","591,687"
Fearless,You All Over Me (feat. Maren Morris) (Taylor???s Version) (From The Vault),"69,108,999","625,972"
Fearless,You Belong With Me (Taylor???s Version),"144,377,810","4,304,665"
Fearless,You???re Not Sorry (Taylor???s Version),"29,299,089","432,028"
evermore,it???s time to go - bonus track,"46,391,377","693,145"
evermore,right where you left me - bonus track,"102,052,182","2,637,174"
folklore: the yeah I showed up at your party chapter,betty - Live from the 2020 Academy of Country Music Awards,"6,459,524","42,666"
The Taylor Swift Holiday Collection,Christmas Must Be Something More,"3,087,957","12,637"
The Taylor Swift Holiday Collection,Christmases When You Were Mine,"3,154,613","13,295"
The Taylor Swift Holiday Collection,Last Christmas,"15,073,155","45,338"
The Taylor Swift Holiday Collection,Santa Baby,"4,786,414","13,637"
The Taylor Swift Holiday Collection,Silent Night,"2,517,820","13,031"
The Taylor Swift Holiday Collection,White Christmas,"2,689,895","9,915"
Today Was A Fairytale,Today Was A Fairytale,"25,600,264","98,172"
Ronan,Ronan,"4,931,231","24,645"
Sweeter Than Fiction,"Sweeter Than Fiction - From ""One Chance"" Soundtrack","8,474,041","68,565"
Everything Has Changed,Everything Has Changed - Remix,"2,356,976","13,369"
Bad Blood,Bad Blood,"99,456,692","1,636,479"
Wildest Dreams,Wildest Dreams - R3hab Remix,"4,907,047","98,804"
...Ready For It?,...Ready For It? - BloodPop?? Remix,"18,823,777","84,990"
Delicate,Delicate - Seeb Remix,"26,040,507","274,016"
Delicate,Delicate - Sawyr And Ryan Tedder Mix,"4,839,957","27,696"
Spotify Singles,Delicate - Recorded at The Tracking Room Nashville,"22,326,306","84,150"
Spotify Singles,September - Recorded at The Tracking Room Nashville,"44,973,321","169,508"
Christmas Tree Farm,Christmas Tree Farm,"81,790,438","115,625"
Lover,Lover - First Dance Remix,"11,911,717","167,307"
Lover,Lover (Remix) [feat. Shawn Mendes],"202,814,914","976,699"
You Need To Calm Down,You Need To Calm Down - Clean Bandit Remix,"11,690,672","75,782"
Christmas Tree Farm,Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"1,007,876","5,827"
willow,willow - moonlit witch version,"4,295,480","44,545"
willow,willow - dancing witch version (Elvira remix),"19,893,155","233,863"
willow,willow - lonely witch version,"7,369,669","92,091"
cardigan,cardigan - cabin in candlelight version,"20,966,153","296,005"
Cornelia Street,Cornelia Street - Live From Paris,"33,761,542","539,185"
Daylight,Daylight - Live From Paris,"10,008,330","189,683"
Death By A Thousand Cuts,Death By A Thousand Cuts - Live From Paris,"19,799,949","206,391"
Lover,Lover - Live From Paris,"4,943,745","65,404"
ME!,ME! - Live From Paris,"3,479,115","35,953"
The Archer,The Archer - Live From Paris,"4,507,026","59,004"
You Need To Calm Down,You Need To Calm Down - Live From Paris,"3,544,199","38,853"
The Man,The Man - Live From Paris,"15,477,478","105,826"
Love Story,Love Story - Digital Dog Remix,"7,873,159","27,199"
You're Not Sorry,You're Not Sorry - CSI Remix,"1,476,375","8,428"
Love Story,Love Story - Pop Mix,"3,321,287","11,653"
Only The Young,Only The Young - Featured in Miss Americana,"86,917,604","477,133"
All Too Well,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,"20,472,261","382,713"
Renegade,Renegade - Pop Version,"5,704,029","92,452"
the lakes,the lakes - original version,"17,442,886","393,673"
willow,willow - 90's trend remix,"9,374,683","80,679"
Love Story,Love Story (Taylor's Version) - Elvira Remix,"18,705,675","403,286"
Wildest Dreams,Wildest Dreams (Taylor's Version),"231,405,458","5,518,639"
Carolina,"Carolina - ""Where The Crawdads Sing"" - Video Edition","3,900,373","231,803"
Carolina,Carolina - From The Motion Picture ???Where The Crawdads Sing???,"18,034,970","1,776,317"
All Too Well,All Too Well (10 Minute Version) (The Short Film),"3,249,935","198,822"
This Love,This Love (Taylor???s Version),"56,166,977","3,440,923"
The Joker And The Queen,The Joker And The Queen (feat. Taylor Swift),"94,025,055","2,124,893"
Message In A Bottle,Message In A Bottle (Fat Max G Remix) (Taylor???s Version),"11,127,856","255,545"
Orphan,"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","12,044,081","60,886"
Orphan,"Macavity - From The Motion Picture Soundtrack ""Cats""","2,321,432","12,388"
Orphan,Crazier,"76,551,223","493,432"
Orphan,You'll Always Find Your Way Back Home,"1,223,156",46
Orphan,Eyes Open,"44,197,982","84,570"
Orphan,Safe & Sound - from The Hunger Games Soundtrack,"196,369,593","710,894"
Orphan,Shake It Off,"36,143",186
Orphan,We Are Never Ever Getting Back Together,"12,501",197
Features,Two Is Better Than One (feat. Taylor Swift),"99,051,549","595,566"
Features,Both of Us (feat. Taylor Swift),"62,313,414","132,379"
Features,Highway Don't Care,"171,826,550","634,887"
Features,Shake it Off,"4,592",11
Features,Big Star (with Taylor Swift) - Live,"2,866,940","23,295"
Features,Hold On - Live,"75,972","1,309"
Features,Gasoline (feat. Taylor Swift),"20,855,855","328,932"
Features,Birch (feat. Taylor Swift),"5,974,410","81,054"
Features,Renegade (feat. Taylor Swift),"53,919,194","843,805"
