ALBUM,SONG,PREV
FAKE LOVE/Airplane pt.2,FAKE LOVE - Japanese ver. / Remix,"3,034,388"
Waste It On Me,Waste It On Me (feat. BTS),"243,816,458"
SUGA's Interlude,SUGA's Interlude,"78,912,641"
Make It Right,Make It Right (feat. Lauv) - Acoustic Remix,"8,105,517"
Make It Right,Make It Right (feat. Lauv) - EDM Remix,"12,554,360"
Make It Right,Make It Right (feat. Lauv),"223,814,784"
Old Town Road,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,"90,210,276"
All Night,All Night (BTS World Original Soundtrack) [Pt. 3],"70,085,628"
A Brand New Day,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],"89,083,090"
Dream Glow,Dream Glow (BTS World Original Soundtrack) - Pt. 1,"126,004,815"
Dynamite,Dynamite - Holiday Remix,"20,836,461"
Savage Love,Savage Love (Laxed ??? Siren Beat) [BTS Remix],"207,771,554"
Savage Love,Savage Love (Laxed ??? Siren Beat) [BTS Remix] (Instrumental),"4,088,685"
Butter,Butter (Holiday Remix),"19,597,306"
My Universe,My Universe - David Guetta Remix,"10,895,869"
My Universe,My Universe - Galantis Remix,"19,243,684"
My Universe,My Universe,"715,454,725"
My Universe,My Universe - Acoustic Version,"19,021,388"
My Universe,My Universe - Supernova 7 Mix,"8,730,463"
My Universe,My Universe - SUGA's Remix,"26,240,334"
Permission to Dance,Permission to Dance - R&B Remix,"28,655,789"
My Universe,My Universe - Instrumental,"8,579,036"
Butter,Butter - Megan Thee Stallion Remix,"130,036,323"
Bad Decisions,Bad Decisions (with BTS & Snoop Dogg),"45,595,566"
Bad Decisions,Bad Decisions (with BTS & Snoop Dogg) - Instrumental,"689,339"
Left and Right,Left and Right (Feat. Jung Kook of BTS),"193,256,488"
Left and Right,Left and Right (feat. Jung Kook of BTS) - Instrumental,"2,365,049"
Orphan,Heartbeat (BTS World Original Soundtrack),"117,136,872"
Features,"Love U, Hate U (Feat. ???????????????)","384,955"
Features,???????????? ?????????,"682,543"
Features,Who (feat. BTS),"211,405,823"
Features,A Song Make to You Smile,"4,116,577"
Features,Girl Of My Dreams (with SUGA of BTS),"94,123,785"
Features,Waste It On Me - Steve Aoki The Bold Tender Sneeze Remix,"236,542"
Features,Waste It On Me (feat. BTS) - Steve Aoki The Bold Tender Sneeze Remix,"2,509,960"
